Usage_ID,Account,TS,Service,SKU,Usage,Unit,Cost,Currency,Region,Free_Tier_Flag,Tag_Owner,Tag_Env,Resource_ID,Ticket_ID,Ticket_Text,Severity,Incident_ID,Price_Version_x,Pricing_Type,Purchase_Type,Department,Project,SLA_Event,Log_Skew_Seconds,FX_Rate,Usage_seconds,Duplicate_Flag,Spike_Flag,Resource_ID_Valid,Resource_Type,Incident_Linked,Price_Version_y,Effective_Date,Unit_Price,Cost_INR,Idle_Resource,Cost_Allocation_Valid
U7286,ACCT-001,2026-08-28 13:13:00,Networking,VM-STD-4,219.63,hours,0.0,USD,eu-west-1,True,bob,test,R-8054,T-146,Customer reported latency issue,HIGH,I-79,v2,spot,on-demand,Sales,Project-B,OUTAGE,0.0,83,790668.0,False,False,True,VM,True,v2,2025-01-01,0.15,0.0,False,True
U972,ACCT-002,2026-07-19 18:16:45,Database,DB-GP-2,499.38,seconds,815.66,USD,us-east-1,False,unknown,dev,R-5377,T-105,Customer reported latency issue,LOW,NONE,v2,reserved,spot,unknown,Project-B,DEGRADED,15.0,83,499.38,False,False,True,DB,False,v2,2025-01-01,0.25,67699.78,True,False
U7202,ACCT-002,2026-10-09 23:36:25,Networking,DB-GP-2,361.04,seconds,319.13,INR,us-east-1,False,unknown,dev,R-1812,T-1,Customer phone [MASKED_PHONE] reported outage,MEDIUM,I-57,v3,on-demand,reserved,Engineering,unknown,OUTAGE,95.0,1,361.04,False,False,True,DB,True,v2,2025-01-01,0.25,319.13,True,True
U8019,ACCT-001,2026-07-01 11:22:14,Compute,VM-STD-4,165.41,hours,308.17,EUR,us-east-1,False,unknown,prod,R-2155,T-7,User email [MASKED_EMAIL] cannot login,MEDIUM,I-76,v2,spot,spot,unknown,Project-C,OUTAGE,106.0,90,595476.0,False,False,True,VM,True,v2,2025-01-01,0.15,27735.3,False,False
U881,ACCT-002,2026-01-09 15:53:00,AI,DB-GP-2,293.13,hours,283.12,INR,eu-west-1,False,alice,dev,R-9127,T-162,Customer phone [MASKED_PHONE] reported outage,HIGH,I-59,v1,on-demand,reserved,Finance,Project-C,NONE,0.0,1,1055268.0,False,False,True,DB,True,v2,2025-01-01,0.25,283.12,False,True
U8093,ACCT-002,2026-12-06 08:04:41,Storage,VM-STD-4,176.72,seconds,78.26,EUR,us-east-1,False,unknown,test,R-9336,T-127,User email [MASKED_EMAIL] cannot login,LOW,I-40,v1,spot,on-demand,Engineering,Project-A,OUTAGE,19.0,90,176.72,False,False,True,VM,True,v2,2025-01-01,0.15,7043.4,True,True
U1304,ACCT-002,2026-09-27 23:16:01,AI,DB-GP-2,115.29,hours,104.6,EUR,us-east-1,False,david,dev,R-2841,T-63,User email [MASKED_EMAIL] cannot login,LOW,I-20,,reserved,on-demand,Research,Project-A,OUTAGE,119.0,90,415044.0,False,False,True,DB,True,v2,2025-01-01,0.25,9414.0,False,True
U1274,ACCT-003,2026-07-26 12:10:04,AI,DB-GP-2,144.1,hours,92.89,EUR,us-east-1,False,alice,prod,R-4988,T-38,User email [MASKED_EMAIL] cannot login,HIGH,NONE,v3,reserved,spot,Sales,unknown,NONE,56.0,90,518760.0,False,False,True,DB,False,v2,2025-01-01,0.25,8360.1,False,True
U7130,ACCT-001,2026-04-12 00:37:55,Networking,VM-STD-4,268.12,hours,374.33,INR,us-east-1,False,alice,unknown,R-5552,T-56,Customer phone [MASKED_PHONE] reported outage,LOW,I-64,v3,spot,spot,unknown,Project-A,OUTAGE,5.0,1,965232.0,False,False,True,VM,True,v2,2025-01-01,0.15,374.33,False,False
U1320,ACCT-001,2026-09-24 21:11:41,Networking,VM-STD-4,348.76,seconds,623.1,INR,us-east-1,False,unknown,dev,R-5620,T-175,Customer phone [MASKED_PHONE] reported outage,LOW,NONE,,spot,spot,unknown,Project-B,NONE,19.0,1,348.76,False,False,True,VM,False,v2,2025-01-01,0.15,623.1,True,False
U1316,ACCT-003,2026-11-28 22:30:56,Database,VM-STD-4,368.85,seconds,0.0,INR,us-east-1,True,unknown,unknown,R-1264,T-127,Customer reported latency issue,LOW,I-37,v2,spot,spot,Research,unknown,OUTAGE,4.0,1,368.85,False,False,True,VM,True,v2,2025-01-01,0.15,0.0,True,True
U8003,ACCT-003,2026-05-17 11:17:30,Database,DB-GP-2,423.74,hours,780.91,EUR,us-east-1,False,david,prod,R-4680,T-178,Customer reported latency issue,MEDIUM,NONE,v1,spot,reserved,Finance,Project-B,OUTAGE,90.0,90,1525464.0,False,False,True,DB,False,v2,2025-01-01,0.25,70281.9,False,True
U980,ACCT-003,2026-07-31 14:37:12,Compute,DB-GP-2,471.22,seconds,0.0,INR,ap-south-1,True,bob,dev,R-9792,T-38,User email [MASKED_EMAIL] cannot login,HIGH,I-15,,on-demand,reserved,unknown,unknown,OUTAGE,108.0,1,471.22,False,False,True,DB,True,v2,2025-01-01,0.25,0.0,True,False
U8159,ACCT-001,2026-05-23 22:39:00,Storage,DB-GP-2,105.65,hours,144.87,INR,ap-south-1,False,david,test,R-1398,T-117,Customer reported latency issue,LOW,I-91,v2,on-demand,spot,Engineering,Project-B,NONE,0.0,1,380340.0,False,False,True,DB,True,v2,2025-01-01,0.25,144.87,False,True
U7148,ACCT-001,2026-01-02 18:06:13,Storage,VM-STD-4,411.81,seconds,490.0,USD,ap-south-1,False,david,dev,R-8182,T-153,Customer phone [MASKED_PHONE] reported outage,LOW,I-89,,reserved,on-demand,Engineering,unknown,NONE,107.0,83,411.81,False,False,True,VM,True,v2,2025-01-01,0.15,40670.0,True,True
U7209,ACCT-001,2026-06-16 21:39:10,Networking,DB-GP-2,441.78,hours,0.0,EUR,ap-south-1,True,alice,dev,R-8810,T-12,Customer phone [MASKED_PHONE] reported outage,LOW,I-82,v1,on-demand,reserved,Finance,Project-B,NONE,50.0,90,1590408.0,False,False,True,DB,True,v2,2025-01-01,0.25,0.0,False,True
U926,ACCT-002,2026-04-11 02:46:00,Database,DB-GP-2,165.82,minutes,45.37,USD,eu-west-1,False,alice,prod,R-6489,T-26,User email [MASKED_EMAIL] cannot login,MEDIUM,NONE,v2,reserved,on-demand,Engineering,unknown,OUTAGE,0.0,83,9949.199999999999,False,False,True,DB,False,v2,2025-01-01,0.25,3765.71,False,True
