Usage_ID,Account,TS_UTC,Service,SKU,Usage_seconds,Cost_INR,Region,Ticket_ID
U0,ACCT-003,2026-10-26 22:10:00+00:00,Compute,DB-GP-2,1453.8,3466.69,eu-west-1,T-8
U1,ACCT-003,2026-06-20 04:17:00+00:00,Compute,DB-GP-2,841248.0,15644.77,eu-west-1,T-168
U2,ACCT-003,2026-06-20 04:15:00+00:00,Storage,VM-STD-4,181.99,0.0,us-east-1,T-178
U4,ACCT-002,2026-06-20 04:16:58+00:00,Database,DB-GP-2,581148.0,0.0,us-east-1,T-123
U6,ACCT-002,2026-06-20 04:17:00+00:00,AI,VM-STD-4,25.78,0.0,us-east-1,T-107
U8,ACCT-001,2026-06-20 04:16:38+00:00,Compute,VM-STD-4,1564992.0,0.0,eu-west-1,T-39
U15,ACCT-001,2026-06-20 04:17:00+00:00,Networking,DB-GP-2,5637.0,0.0,us-east-1,T-133
U16,ACCT-001,2026-12-03 11:16:28+00:00,AI,VM-STD-4,4.13,242.43,us-east-1,T-87
U17,ACCT-003,2026-03-02 16:34:00+00:00,Storage,DB-GP-2,13952.4,21861.26,ap-south-1,T-46
U23,ACCT-001,2026-10-05 04:43:00+00:00,Compute,VM-STD-4,1565172.0,0.0,ap-south-1,T-183
U24,ACCT-001,2026-01-17 11:56:00+00:00,Database,VM-STD-4,641844.0,0.0,us-east-1,T-169
U37,ACCT-002,2026-11-27 21:42:26+00:00,Storage,VM-STD-4,215.23,19289.76,us-east-1,T-60
U42,ACCT-002,2026-11-15 07:57:00+00:00,Database,DB-GP-2,55.48,0.0,ap-south-1,T-142
U48,ACCT-001,2026-10-30 14:12:00+00:00,Storage,VM-STD-4,20234196.0,702890.13,ap-south-1,T-18
U49,ACCT-001,2026-10-09 03:46:00+00:00,Networking,VM-STD-4,1055556.0,0.0,us-east-1,T-136
U56,ACCT-001,2026-07-22 08:00:00+00:00,Storage,DB-GP-2,1727100.0,15183.42,us-east-1,T-20
U63,ACCT-002,2026-04-26 10:50:00+00:00,Networking,DB-GP-2,13060.800000000001,0.0,eu-west-1,T-168
U66,ACCT-001,2026-05-05 22:35:00+00:00,Networking,DB-GP-2,357.2,28457.71,ap-south-1,T-64
U70,ACCT-001,2026-01-24 04:37:12+00:00,Database,VM-STD-4,291672.0,2857.7,eu-west-1,T-95
U73,ACCT-001,2026-05-14 16:27:00+00:00,Networking,VM-STD-4,63307.8,129394.99,eu-west-1,T-101
U75,ACCT-002,2026-12-11 22:49:00+00:00,AI,DB-GP-2,719820.0,10764.38,ap-south-1,T-78
U79,ACCT-002,2026-01-04 06:31:00+00:00,Networking,VM-STD-4,260.83,13983.52,us-east-1,T-155
U80,ACCT-001,2026-05-09 02:22:47+00:00,Compute,DB-GP-2,29309.4,25412.29,us-east-1,T-60
U89,ACCT-001,2026-10-22 01:34:42+00:00,Database,VM-STD-4,1755468.0,35791.24,ap-south-1,T-76
U96,ACCT-003,2026-05-24 06:32:54+00:00,AI,DB-GP-2,21246.0,35672.03,ap-south-1,T-49
U99,ACCT-001,2026-06-23 18:36:45+00:00,Storage,VM-STD-4,77.44,2495.2,ap-south-1,T-142
U101,ACCT-001,2026-02-05 04:35:49+00:00,Compute,DB-GP-2,460.87,0.0,us-east-1,T-168
U104,ACCT-001,2026-05-12 09:47:07+00:00,Networking,DB-GP-2,21029.4,55435.97,eu-west-1,T-164
U110,ACCT-002,2026-04-22 05:09:06+00:00,Storage,VM-STD-4,1378.39,0.0,eu-west-1,T-97
U111,ACCT-002,2026-03-16 10:38:00+00:00,Networking,VM-STD-4,22906.199999999997,38923.17,us-east-1,T-17
U122,ACCT-001,2026-11-03 06:47:00+00:00,AI,VM-STD-4,8898.0,21985.89,us-east-1,T-98
U128,ACCT-001,2026-10-21 01:44:12+00:00,Storage,DB-GP-2,1641996.0,33237.44,eu-west-1,T-190
U132,ACCT-001,2026-10-23 08:19:23+00:00,Database,DB-GP-2,1380744.0,33191.37,ap-south-1,T-89
U134,ACCT-001,2026-08-08 19:38:44+00:00,Networking,VM-STD-4,319.77,5777.92,us-east-1,T-122
U137,ACCT-002,2026-05-01 05:47:55+00:00,Compute,VM-STD-4,9116.4,25020.79,eu-west-1,T-108
U151,ACCT-003,2026-04-13 01:39:51+00:00,Database,DB-GP-2,182232.0,0.0,ap-south-1,T-72
U152,ACCT-003,2026-06-05 05:20:40+00:00,Compute,DB-GP-2,200.81,0.0,ap-south-1,T-54
