Resource_ID,Account,Service,Region,Instance_Type,Pricing_Model,Created_TS,Status,Valid_Resource,Idle
R0,ACCT-003,Database,us-east-1,t2.micro,ondemand,2026-07-05 22:52:00,stopped,True,True
R1,ACCT-002,Database,us-east-1,c5.xlarge,ondemand,2026/07/21 14:26,running,True,False
R2,ACCT-004,Compute,ap-south-1,c5.xlarge,reserved,2026/02/08 10:11,stopped,True,True
R3,ACCT-002,Database,us-east-1,m5.large,ondemand,2026/03/13 09:41,stopped,True,True
R4,ACCT-001,Compute,ap-south-1,c5.xlarge,ondemand,2026/08/15 03:06,stopped,True,True
R5,ACCT-003,Storage,ap-south-1,t2.micro,ondemand,2026-04-26 14:03:00,stopped,True,True
R6,ACCT-003,Compute,us-east-1,m5.large,ondemand,2026/06/21 01:42,running,True,False
R7,ACCT-004,Ai,us-east-1,t2.micro,reserved,2026-12-11 08:33+00:00,running,True,False
R8,ACCT-002,Ai,ap-south-1,m5.large,ondemand,2026-10-06 07:36:00,running,True,False
R9,ACCT-001,Storage,ap-south-1,m5.large,reserved,2026/06/12 07:53,stopped,True,True
R10,ACCT-002,Compute,us-east-1,t2.micro,reserved,2026/02/18 03:41,stopped,True,True
R11,ACCT-003,Ai,us-east-1,c5.xlarge,ondemand,2026-06-28 16:14:00,running,True,False
R12,ACCT-004,Database,ap-south-1,c5.xlarge,spot,2026-10-22 11:52:00,stopped,True,True
R13,ACCT-004,Storage,ap-south-1,c5.xlarge,ondemand,2026-09-12 06:24+00:00,running,True,False
R14,ACCT-001,Database,us-east-1,c5.xlarge,ondemand,2026/06/27 12:06,stopped,True,True
R15,ACCT-002,Ai,us-east-1,m5.large,spot,2026/11/09 19:31,running,True,False
R16,ACCT-003,Storage,ap-south-1,m5.large,spot,2026-01-09 09:36+00:00,running,True,False
R17,ACCT-004,Storage,us-east-1,m5.large,reserved,2026-04-11 21:03+00:00,stopped,True,True
R18,ACCT-003,Ai,us-east-1,m5.large,ondemand,2026-02-27 03:05:00,stopped,True,True
R19,ACCT-004,Compute,us-east-1,c5.xlarge,reserved,2026/03/07 11:12,running,True,False
R20,ACCT-002,Ai,ap-south-1,c5.xlarge,spot,2026-05-13 14:36+00:00,stopped,True,True
R21,ACCT-004,Compute,us-east-1,c5.xlarge,reserved,2026/02/01 17:45,running,True,False
R22,ACCT-004,Ai,us-east-1,m5.large,spot,2026-05-14 23:43:00,stopped,True,True
R23,ACCT-004,Compute,us-east-1,t2.micro,spot,2026-04-05 21:24+00:00,running,True,False
R24,ACCT-001,Networking,us-east-1,m5.large,ondemand,2026/11/15 11:29,stopped,True,True
R25,ACCT-002,Ai,us-east-1,m5.large,spot,2026-09-08 10:53:00,stopped,True,True
R26,ACCT-002,Database,ap-south-1,m5.large,ondemand,2026/09/15 19:54,running,True,False
R27,ACCT-003,Compute,ap-south-1,c5.xlarge,ondemand,2026/01/04 15:03,stopped,True,True
R28,ACCT-004,Ai,ap-south-1,m5.large,ondemand,2026/11/30 05:38,stopped,True,True
R29,ACCT-004,Storage,us-east-1,c5.xlarge,spot,2026-06-22 14:56:00,running,True,False
R30,ACCT-003,Compute,ap-south-1,c5.xlarge,spot,2026-04-20 04:34:00,stopped,True,True
R31,ACCT-002,Compute,ap-south-1,t2.micro,ondemand,2026/05/28 22:32,running,True,False
R32,ACCT-002,Networking,us-east-1,t2.micro,reserved,2026/08/23 12:03,stopped,True,True
R33,ACCT-001,Ai,us-east-1,m5.large,reserved,2026-04-30 09:10+00:00,running,True,False
R34,ACCT-003,Networking,ap-south-1,m5.large,ondemand,2026-06-25 01:56:00,running,True,False
R35,ACCT-003,Ai,ap-south-1,c5.xlarge,reserved,2026-09-22 01:20+00:00,running,True,False
R36,ACCT-003,Storage,us-east-1,t2.micro,reserved,2026-01-24 02:08:00,running,True,False
R37,ACCT-002,Ai,ap-south-1,t2.micro,ondemand,2026/02/10 07:35,stopped,True,True
R38,ACCT-001,Storage,us-east-1,c5.xlarge,ondemand,2026-09-13 04:04:00,running,True,False
R39,ACCT-001,Database,us-east-1,c5.xlarge,ondemand,2026/10/03 12:31,running,True,False
R40,ACCT-001,Compute,us-east-1,m5.large,ondemand,2026/10/25 19:10,running,True,False
R41,ACCT-002,Ai,us-east-1,m5.large,spot,2026-05-31 08:11+00:00,stopped,True,True
R42,ACCT-002,Networking,us-east-1,t2.micro,reserved,2026-02-23 15:04:00,stopped,True,True
R43,ACCT-004,Networking,us-east-1,t2.micro,spot,2026/07/03 10:02,stopped,True,True
R44,ACCT-003,Compute,us-east-1,t2.micro,reserved,2026/03/11 12:57,running,True,False
R45,ACCT-001,Compute,ap-south-1,t2.micro,ondemand,2026-03-02 19:31:00,running,True,False
R46,ACCT-001,Ai,us-east-1,t2.micro,reserved,2026/06/21 11:24,running,True,False
R47,ACCT-002,Networking,ap-south-1,c5.xlarge,ondemand,2026-06-02 21:05:00,running,True,False
R48,ACCT-004,Database,us-east-1,m5.large,ondemand,2026-11-08 05:57:00,stopped,True,True
R49,ACCT-001,Compute,ap-south-1,t2.micro,reserved,2026-11-24 15:48+00:00,running,True,False
R50,ACCT-002,Ai,ap-south-1,c5.xlarge,reserved,2026-07-29 17:56+00:00,stopped,True,True
R51,ACCT-002,Database,us-east-1,t2.micro,reserved,2026-05-08 23:10:00,running,True,False
R52,ACCT-004,Compute,ap-south-1,t2.micro,ondemand,2026/06/13 17:38,running,True,False
R53,ACCT-002,Storage,us-east-1,t2.micro,reserved,2026-01-28 01:15:00,running,True,False
R54,ACCT-003,Networking,us-east-1,t2.micro,spot,2026/05/31 14:16,stopped,True,True
R55,ACCT-002,Database,ap-south-1,c5.xlarge,reserved,2026-04-15 16:47:00,stopped,True,True
R56,ACCT-002,Networking,us-east-1,m5.large,reserved,2026-06-11 03:56:00,running,True,False
R57,ACCT-003,Compute,ap-south-1,t2.micro,ondemand,2026-04-18 06:02:00,running,True,False
R58,ACCT-004,Ai,us-east-1,t2.micro,reserved,2026-05-08 05:08:00,stopped,True,True
R59,ACCT-001,Networking,ap-south-1,m5.large,reserved,2026-10-08 09:53+00:00,running,True,False
R60,ACCT-003,Compute,ap-south-1,t2.micro,ondemand,2026-10-21 14:02+00:00,stopped,True,True
R61,ACCT-004,Networking,ap-south-1,t2.micro,spot,2026-11-28 03:27:00,running,True,False
R62,ACCT-004,Database,us-east-1,m5.large,ondemand,2026-08-09 03:48:00,running,True,False
R63,ACCT-003,Compute,ap-south-1,t2.micro,spot,2026/06/08 03:00,running,True,False
