Usage_ID,Account,TS,Service,SKU,Usage,Unit,Cost,Currency,Region,Free_Tier_Flag,Tag_Owner,Tag_Env,Resource_ID,Ticket_ID,Ticket_Text,Severity,Incident_ID,Price_Version,Pricing_Type,Purchase_Type,Department,Project,SLA_Event,Log_Skew_Seconds,FX_Rate
U0,acct-001,2026-10-01 02:18:00,AI,vm_std_4,135.49,seconds,$80.76,INR,US East 1,True,alice,,R4704,T-161,Customer reported latency issue,MEDIUM,I-32,v3,on-demand,spot,Sales,Project-A,NONE,3.0,1
U1, acct003 ,2026/03/10 25:05,Compute,db_gp_2,196.52,seconds,160.77,EUR,eu-west-1,True,bob,dev,resource-5863,T-173,Customer phone 6499931934 reported outage,LOW,,v2,on-demand,reserved,Finance,Project-A,DEGRADED,,90
U2, acct003 ,2026-07-30 18:05:00,Database,VM-STD-4,259.47,minutes,₹418.61,EUR,ap south 1,True,,dev,R6917,T-42,User email john@example.com cannot login,HIGH,I-51,v2,on-demand,spot,Research,,DEGRADED,,90
U3,acct-001,2026/01/14 20:00,Storage,DB-GP-2,76.98,minutes,44.51,EUR,ap south 1,False,david,test,R7317,T-146,User email john@example.com cannot login,,,v2,spot,spot,Research,Project-B,NONE,22.0,90
U4,acct-001,2026-10-16T00:14:00+09:00,Compute,DB-GP-2,497.26,seconds,$551.75,INR,US East 1,True,alice,,R5598,T-66,Customer phone 9035478897 reported outage,MEDIUM,,v3,spot,reserved,Sales,Project-B,DEGRADED,85.0,1
U5, acct003 ,2026/03/10 25:05,Networking,DB-GP-2,52.43,seconds,101.47,USD,US East 1,True,charlie,test,R5825,T-115,User email john@example.com cannot login,LOW,I-72,v3,reserved,on-demand,Finance,Project-A,NONE,,83
U6,ACCT-002,2026-09-11 00:25:00,Networking,vm_std_4,162.89,hours,₹206.19,EUR,eu-west-1,False,alice,dev,resource-1622,T-43,Customer phone 6086388355 reported outage,MEDIUM,I-73,v2,reserved,spot,,,OUTAGE,,90
U7,ACCT-002,2026-01-30T18:16:00+05:30,Database,db_gp_2,448.46,hours,$713.71,INR,us-east-1,False,,,resource-8567,T-111,Customer reported latency issue,,I-80,v2,reserved,on-demand,,Project-B,NONE,,1
U8,ACCT-002,2026-08-12T12:03:00-04:00,Database,db_gp_2,360.42,hours,$520.42,USD,eu-west-1,False,bob,dev,R1566,T-7,Customer phone 8486449863 reported outage,LOW,I-72,v3,spot,spot,Sales,Project-B,NONE,,83
U9,acct001,2026-01-01 22:55:00,AI,VM-STD-4,464.91,minutes,352.5,EUR,eu-west-1,False,charlie,test,resource-5999,T-140,User email john@example.com cannot login,LOW,,,spot,on-demand,,Project-A,DEGRADED,,90
U10,acct001,2026-04-25T05:05:00+00:00,Storage,VM-STD-4,347.13,seconds,$458.69,INR,us-east-1,False,alice,dev,resource-1394,T-33,User email john@example.com cannot login,,I-2,v1,on-demand,spot,Engineering,Project-B,NONE,,1
U11,ACCT-002,2026-03-02T11:28:00+05:30,Compute,vm_std_4,304.28,hours,₹253.08,USD,ap south 1,False,,,R2705,T-18,User email john@example.com cannot login,,,v3,reserved,on-demand,Sales,Project-C,OUTAGE,,83
U12, acct003 ,2026/03/10 25:05,Storage,db_gp_2,90.1,hours,₹28.03,USD,eu-west-1,False,alice,dev,resource-7933,T-175,User email john@example.com cannot login,LOW,,v3,reserved,on-demand,Finance,,OUTAGE,66.0,83
U13,acct-001,2026/04/02 07:15,Networking,db_gp_2,1.41,hours,₹0.52,EUR,eu-west-1,True,,prod,resource-3224,T-142,User email john@example.com cannot login,MEDIUM,I-41,v3,spot,on-demand,,Project-A,NONE,,90
U14,acct-001,2026/03/10 25:05,Compute,VM-STD-4,211.8,hours,$120.21,INR,us-east-1,True,charlie,dev,R2218,T-117,Customer phone 9353452459 reported outage,,,v2,on-demand,spot,Research,Project-B,DEGRADED,22.0,1
U15,acct-001,2026/01/04 11:06,Networking,DB-GP-2,187.7,hours,134.66,EUR,ap south 1,False,bob,,resource-1346,T-50,User email john@example.com cannot login,LOW,I-38,v1,reserved,reserved,,Project-C,OUTAGE,,90
U16,acct-001,2026/03/10 25:05,Compute,db_gp_2,200.69,seconds,₹333.18,INR,eu-west-1,False,charlie,test,resource-5898,T-196,User email john@example.com cannot login,MEDIUM,,v3,spot,spot,Finance,,OUTAGE,,1
U17, acct003 ,2026/06/13 00:34,Networking,db_gp_2,437.04,minutes,₹428.73,USD,US East 1,True,bob,prod,R5036,T-113,Customer reported latency issue,LOW,,v3,reserved,reserved,Sales,Project-C,NONE,13.0,83
U18,acct001,2026-07-02 22:07:00,Database,DB-GP-2,9942.96,hours,$12507.66,USD,eu-west-1,True,,,R7563,T-77,Customer reported latency issue,MEDIUM,,v2,on-demand,spot,Finance,Project-C,NONE,48.0,83
U19, acct003 ,2026-02-11 22:29:00,Database,vm_std_4,195.03,seconds,97.87,INR,US East 1,True,,prod,R4958,T-188,Customer reported latency issue,HIGH,,v1,on-demand,spot,Sales,,NONE,,1
U20,acct-001,2026-01-21 07:51:00,Storage,VM-STD-4,384.47,seconds,₹226.74,EUR,eu-west-1,True,david,test,R7516,T-118,User email john@example.com cannot login,,,v1,on-demand,reserved,Engineering,,OUTAGE,37.0,90
U21,ACCT-002,2026-01-26T22:23:00-04:00,Storage,DB-GP-2,62.28,hours,₹32.53,INR,eu-west-1,True,charlie,test,R1279,T-100,Customer phone 6032204351 reported outage,LOW,I-40,v1,reserved,spot,Research,,NONE,13.0,1
U22,acct001,2026/01/30 17:23,AI,vm_std_4,499.41,seconds,₹691.61,EUR,us-east-1,True,bob,dev,R9886,T-115,Customer reported latency issue,,,v2,on-demand,on-demand,Finance,Project-A,DEGRADED,25.0,90
U23,ACCT-002,2026-10-15 17:04:00,Storage,vm_std_4,62.37,minutes,$107.05,USD,us-east-1,False,,test,R9587,T-189,User email john@example.com cannot login,LOW,I-41,v2,on-demand,spot,Sales,Project-B,OUTAGE,23.0,83
U24, acct003 ,2026-10-28T04:31:00-04:00,Database,db_gp_2,434.01,seconds,$777.38,INR,ap south 1,True,david,dev,resource-4672,T-195,User email john@example.com cannot login,LOW,,,spot,on-demand,Sales,Project-C,DEGRADED,,1
U25,acct-001,2026-11-23T21:44:00+01:00,Networking,db_gp_2,309.62,hours,₹524.44,INR,ap south 1,False,,prod,R9585,T-153,Customer reported latency issue,HIGH,I-32,v2,on-demand,reserved,Engineering,Project-A,DEGRADED,,1
U26,acct-001,2026-04-08 10:40:00,Networking,DB-GP-2,426.46,hours,₹763.34,USD,eu-west-1,True,david,,resource-2624,T-177,User email john@example.com cannot login,LOW,,v2,on-demand,on-demand,,,OUTAGE,62.0,83
U27,acct-001,2026-09-21 19:48:00,Compute,db_gp_2,487.52,hours,183.63,USD,us-east-1,False,bob,dev,R8077,T-32,User email john@example.com cannot login,,,v3,spot,spot,Finance,,NONE,65.0,83
U28, acct003 ,2026/08/26 20:57,Networking,DB-GP-2,283.89,seconds,$259.77,USD,ap south 1,True,bob,test,R7369,T-101,Customer phone 7967881091 reported outage,,,v2,on-demand,reserved,Engineering,Project-C,DEGRADED,7.0,83
U29,ACCT-002,2026/01/28 13:48,Networking,db_gp_2,179.59,minutes,287.39,USD,eu-west-1,True,bob,,R3351,T-83,Customer phone 8006522195 reported outage,LOW,I-17,v3,spot,reserved,Engineering,,OUTAGE,30.0,83
U30,acct001,2026/01/09 22:38,Compute,vm_std_4,481.63,seconds,₹127.29,USD,us-east-1,False,bob,,R1777,T-185,Customer phone 6618687042 reported outage,LOW,I-57,v1,spot,on-demand,Research,Project-C,NONE,,83
