Incident_ID,Service,Region,Start_TS,End_TS,Severity
I0,Compute,ap-south-1,2026-04-07,2026-04-07 02:24:00,sev3
I1,Networking,us-east-1,2026-03-05,2026-03-05 02:59:00,sev1
I2,AI,us-east-1,2026-02-04,2026-02-04 01:27:00,sev1
I3,AI,ap-south-1,2026-01-05,2026-01-05 01:08:00,sev1
I4,Compute,us-east-1,2026-01-05,2026-01-05 00:40:00,sev1
I5,Compute,us-east-1,2026-02-24,2026-02-24 02:19:00,sev3
I6,Database,us-east-1,2026-02-28,2026-02-28 02:14:00,sev2
I7,AI,ap-south-1,2026-03-16,2026-03-16 00:51:00,sev3
I8,Database,ap-south-1,2026-03-03,2026-03-03 01:01:00,sev1
I9,Storage,us-east-1,2026-01-17,2026-01-17 02:05:00,sev1
I10,Storage,us-east-1,2026-04-05,2026-04-05 00:59:00,sev2
I11,Storage,ap-south-1,2026-03-18,2026-03-18 01:11:00,sev2
I12,Database,us-east-1,2026-03-27,2026-03-27 00:31:00,sev3
I13,AI,ap-south-1,2026-01-26,2026-01-26 02:08:00,sev2
I14,Networking,us-east-1,2026-01-12,2026-01-12 01:10:00,sev1
I15,AI,ap-south-1,2026-01-20,2026-01-20 00:40:00,sev3
I16,Storage,ap-south-1,2026-01-28,2026-01-28 02:06:00,sev1
I17,Storage,us-east-1,2026-03-17,2026-03-17 01:48:00,sev1
I18,AI,us-east-1,2026-04-07,2026-04-07 02:19:00,sev3
I19,Database,us-east-1,2026-02-25,2026-02-25 00:47:00,sev2
I20,Networking,ap-south-1,2026-03-12,2026-03-12 02:25:00,sev3
I21,Database,ap-south-1,2026-02-21,2026-02-21 01:12:00,sev1
I22,Database,ap-south-1,2026-02-28,2026-02-28 00:46:00,sev3
I23,Compute,us-east-1,2026-03-22,2026-03-22 01:37:00,sev3
I24,Database,us-east-1,2026-02-28,2026-02-28 00:43:00,sev2
I25,AI,ap-south-1,2026-01-29,2026-01-29 02:05:00,sev1
I26,Compute,ap-south-1,2026-04-03,2026-04-03 00:44:00,sev3
I27,AI,us-east-1,2026-03-18,2026-03-18 01:54:00,sev1
I28,Database,ap-south-1,2026-03-24,2026-03-24 03:13:00,sev2
I29,Storage,us-east-1,2026-03-25,2026-03-25 00:34:00,sev3
I30,Storage,ap-south-1,2026-01-14,2026-01-14 21:00:00,sev1
I31,Storage,ap-south-1,2026-02-02,2026-02-02 02:20:00,sev1
I32,Storage,us-east-1,2026-01-13,2026-01-13 03:12:00,sev2
I33,Networking,us-east-1,2026-01-26,2026-01-26 02:04:00,sev3
I34,Storage,ap-south-1,2026-03-31,2026-03-31 01:08:00,sev3
I35,Compute,us-east-1,2026-01-13,2026-01-13 01:18:00,sev2
I36,AI,us-east-1,2026-03-31,2026-03-31 00:57:00,sev2
I37,Storage,us-east-1,2026-01-27,2026-01-27 14:50:00,sev3
I38,Database,ap-south-1,2026-01-09,2026-01-10 03:30:00,sev3
I39,Compute,ap-south-1,2026-03-21,2026-03-21 01:20:00,sev3
I40,AI,ap-south-1,2026-03-05,2026-03-05 02:18:00,sev3
I41,Networking,us-east-1,2026-03-16,2026-03-16 00:10:00,sev2
I42,Database,us-east-1,2026-01-04,2026-01-04 01:27:00,sev1
I43,Storage,ap-south-1,2026-01-12,2026-01-12 01:50:00,sev3
I44,Networking,ap-south-1,2026-02-25,2026-02-25 01:59:00,sev2
I45,Compute,ap-south-1,2026-03-13,2026-03-13 03:17:00,sev3
I46,Storage,ap-south-1,2026-02-22,2026-02-22 02:34:00,sev3
I47,AI,us-east-1,2026-03-08,2026-03-08 02:33:00,sev2
I48,Database,us-east-1,2026-04-07,2026-04-07 02:47:00,sev3
I49,Networking,us-east-1,2026-02-08,2026-02-08 00:54:00,sev2
