Event_ID,Service,Region,Event_TS,Event_Type
S0,Database,ap-south-1,2026/02/12 19:41,downtime
S1,AI,ap-south-1,2026-07-07 22:09+00:00,downtime
S2,Networking,ap-south-1,2026-11-28 00:00+00:00,degraded
S3,Storage,ap-south-1,2026-06-27 14:41:00,degraded
S4,Compute,ap-south-1,2026/05/17 05:51,degraded
S5,AI,ap-south-1,2026-11-20 16:50+00:00,degraded
S6,Networking,ap-south-1,2026-06-28 21:55+00:00,degraded
S7,Networking,ap-south-1,2026-04-25 06:12+00:00,degraded
S8,Database,ap-south-1,2026-03-25 18:59+00:00,downtime
S9,AI,ap-south-1,2026/04/05 07:56,degraded
S10,Networking,ap-south-1,2026-03-30 18:36:00,downtime
S11,Compute,ap-south-1,2026/02/28 01:31,degraded
S12,AI,ap-south-1,2026/02/08 16:16,degraded
S13,Storage,ap-south-1,2026-03-19 00:55+00:00,downtime
S14,Compute,ap-south-1,2026-06-14 00:47+00:00,downtime
S15,Storage,ap-south-1,2026-08-10 09:36:00,downtime
S16,Networking,ap-south-1,2026-09-15 22:19+00:00,degraded
S17,Database,ap-south-1,2026/10/05 18:53,downtime
S18,Database,ap-south-1,2026-05-22 18:11+00:00,degraded
S19,Networking,ap-south-1,2026/03/26 07:28,degraded
S20,Database,ap-south-1,2026-09-21 18:09:00,downtime
S21,Storage,ap-south-1,2026-08-25 02:16+00:00,downtime
S22,Networking,ap-south-1,2026/12/03 20:42,downtime
S23,Networking,ap-south-1,2026-10-28 23:20:00,downtime
S24,AI,ap-south-1,2026-11-04 08:40:00,downtime
S25,AI,ap-south-1,2026-09-26 01:48:00,downtime
S26,Networking,ap-south-1,2026-07-16 03:24+00:00,downtime
S27,Database,ap-south-1,2026-01-28 05:44:00,downtime
S28,Database,ap-south-1,2026/07/16 07:33,degraded
S29,Storage,ap-south-1,2026/01/30 13:22,downtime
S30,Storage,ap-south-1,2026-06-22 00:21+00:00,downtime
S31,Storage,ap-south-1,2026/05/11 21:27,downtime
S32,AI,ap-south-1,2026-05-17 14:26:00,degraded
S33,Storage,ap-south-1,2026/08/24 04:47,degraded
S34,Networking,ap-south-1,2026-01-13 10:18+00:00,degraded
S35,Compute,ap-south-1,2026-09-16 12:29:00,downtime
S36,AI,ap-south-1,2026-05-05 10:58:00,degraded
S37,AI,ap-south-1,2026/08/04 14:27,downtime
S38,Networking,ap-south-1,2026-09-15 02:15+00:00,downtime
S39,Compute,ap-south-1,2026-06-05 00:37:00,degraded
S40,Storage,ap-south-1,2026/05/16 00:36,degraded
S41,AI,ap-south-1,2026-08-29 11:21:00,downtime
S42,AI,ap-south-1,2026/08/01 01:50,downtime
S43,Compute,ap-south-1,2026-10-29 21:59:00,degraded
S44,Compute,ap-south-1,2026/11/03 06:13,degraded
S45,AI,ap-south-1,2026-04-04 06:30+00:00,downtime
S46,Compute,ap-south-1,2026/06/25 00:21,downtime
S47,Networking,ap-south-1,2026/05/04 13:51,degraded
S48,AI,ap-south-1,2026-09-29 13:51+00:00,downtime
S49,Storage,ap-south-1,2026-08-01 11:51+00:00,degraded
