Resource_ID,Account,Service,Region,Instance_Type,Pricing_Model,Created_TS,Status
R0,acct-003,Storage,us-east-1,t2.micro,OnDemand,2026-09-08 11:07:00,stopped
R1, acct-001 ,AI,ap-south-1,c5.xlarge,Spot,2026/04/13 04:38,stopped
R2,acct-003,Database,ap-south-1,c5.xlarge,Reserved,2026/01/28 00:10,stopped
R3, acct-001 ,Database,us-east-1,c5.xlarge,Reserved,2026-07-01 07:09+00:00,running
R4,ACCT-002,Storage,us-east-1,m5.large,OnDemand,2026-06-05 12:31:00,stopped
R5,acct-003,Networking,ap-south-1,c5.xlarge,Spot,2026-08-10 15:13:00,running
R6,acct-003,Compute,ap-south-1,c5.xlarge,Reserved,2026-06-11 10:23+00:00,running
R7, acct-001 ,Database,us-east-1,m5.large,OnDemand,2026-02-11 19:25:00,stopped
R8,ACCT-004,Storage,us-east-1,c5.xlarge,Spot,2026/08/16 03:10,stopped
R9, acct-001 ,AI,us-east-1,m5.large,OnDemand,2026/09/02 22:12,stopped
R10, acct-001 ,AI,ap-south-1,m5.large,Spot,2026/06/13 23:29,running
R11, acct-001 ,AI,ap-south-1,c5.xlarge,Spot,2026-02-01 23:45:00,running
R12,ACCT-002,Database,ap-south-1,t2.micro,Spot,2026-06-11 15:59+00:00,running
R13,acct-003,Database,ap-south-1,t2.micro,Reserved,2026-08-15 19:28+00:00,running
R14,ACCT-004,Storage,ap-south-1,m5.large,Reserved,2026-03-11 13:45+00:00,running
R15,ACCT-004,Networking,us-east-1,t2.micro,Reserved,2026-03-29 05:53+00:00,stopped
R16,ACCT-004,Networking,us-east-1,m5.large,OnDemand,2026-08-08 13:08+00:00,running
R17, acct-001 ,Compute,ap-south-1,c5.xlarge,Spot,2026-09-08 18:47:00,stopped
R18, acct-001 ,Networking,ap-south-1,t2.micro,OnDemand,2026-03-11 02:09:00,running
R19,acct-003,Networking,us-east-1,t2.micro,Reserved,2026/02/27 16:26,stopped
R20,ACCT-002,AI,ap-south-1,t2.micro,OnDemand,2026-05-13 07:21+00:00,stopped
R21,acct-003,Storage,us-east-1,t2.micro,OnDemand,2026-10-02 17:14:00,running
R22, acct-001 ,Storage,us-east-1,m5.large,Spot,2026/01/29 09:58,stopped
R23,acct-003,Storage,us-east-1,t2.micro,OnDemand,2026/07/05 13:04,running
R24,acct-003,Database,us-east-1,c5.xlarge,OnDemand,2026/02/15 03:08,stopped
R25,ACCT-002,Database,us-east-1,c5.xlarge,Reserved,2026-08-06 11:53+00:00,running
R26,ACCT-002,Compute,ap-south-1,t2.micro,Reserved,2026/06/04 17:08,running
R27,acct-003,AI,us-east-1,c5.xlarge,OnDemand,2026-07-26 10:48+00:00,stopped
R28,ACCT-002,Storage,ap-south-1,c5.xlarge,Reserved,2026/01/15 06:27,stopped
R29,ACCT-004,Networking,ap-south-1,c5.xlarge,OnDemand,2026-08-20 18:41:00,running
R30, acct-001 ,AI,ap-south-1,t2.micro,OnDemand,2026-05-04 00:19:00,stopped
R31,ACCT-002,Networking,us-east-1,c5.xlarge,Reserved,2026/08/28 23:23,stopped
R32, acct-001 ,AI,us-east-1,t2.micro,Spot,2026/10/09 03:36,stopped
R33, acct-001 ,AI,ap-south-1,c5.xlarge,Reserved,2026-05-22 18:56:00,stopped
R34,ACCT-002,Networking,ap-south-1,t2.micro,Reserved,2026-10-19 21:30:00,stopped
R35, acct-001 ,Storage,ap-south-1,m5.large,OnDemand,2026/03/07 02:31,running
R36,ACCT-002,Storage,ap-south-1,t2.micro,OnDemand,2026/08/08 15:55,stopped
R37, acct-001 ,AI,ap-south-1,m5.large,Spot,2026-12-09 10:31+00:00,running
R38,acct-003,Storage,us-east-1,t2.micro,Spot,2026/05/29 22:47,running
R39,ACCT-002,AI,ap-south-1,c5.xlarge,Reserved,2026-08-09 01:32+00:00,stopped
R40, acct-001 ,Database,ap-south-1,m5.large,Spot,2026-09-03 00:29+00:00,stopped
R41,ACCT-002,Storage,us-east-1,m5.large,OnDemand,2026-02-08 19:14+00:00,stopped
R42, acct-001 ,Compute,ap-south-1,m5.large,Reserved,2026/01/08 09:58,running
R43,ACCT-004,Networking,ap-south-1,t2.micro,Reserved,2026-11-27 19:28+00:00,running
