Event_ID,Account,Service,Region,Event_TS,Severity
E0,ACCT-004,Storage,ap-south-1,2026/12/03 06:17,high
E1,ACCT-002,Compute,us-east-1,2026-09-08 17:52+00:00,low
E2, acct-001 ,Compute,ap-south-1,2026/05/19 22:52,low
E3,ACCT-004,Database,ap-south-1,2026-08-10 19:39+00:00,high
E4,ACCT-004,Database,ap-south-1,2026-06-22 10:16:00,medium
E5,ACCT-002,Compute,ap-south-1,2026-03-12 05:47:00,low
E6,acct-003,Networking,ap-south-1,2026-10-09 02:23+00:00,medium
E7, acct-001 ,Compute,ap-south-1,2026-03-01 19:36+00:00,high
E8,ACCT-002,AI,us-east-1,2026/10/18 07:50,medium
E9, acct-001 ,Database,us-east-1,2026-09-18 23:38:00,high
E10,ACCT-004,Database,ap-south-1,2026-03-05 01:08:00,medium
E11,ACCT-004,Database,us-east-1,2026/07/03 08:46,low
E12,ACCT-002,Storage,us-east-1,2026-10-17 20:39:00,low
E13,acct-003,Database,us-east-1,2026-10-11 06:16+00:00,medium
E14,ACCT-002,Database,ap-south-1,2026-09-25 03:45:00,high
E15,acct-003,Compute,ap-south-1,2026-06-25 10:23:00,high
E16,acct-003,Compute,us-east-1,2026-02-06 06:32+00:00,low
E17, acct-001 ,Networking,ap-south-1,2026-01-02 14:08:00,medium
E18,ACCT-002,Storage,us-east-1,2026-01-24 20:10:00,high
E19,ACCT-004,Compute,ap-south-1,2026-11-04 14:46+00:00,high
E20,ACCT-002,Networking,us-east-1,2026/06/12 07:50,high
E21, acct-001 ,Storage,ap-south-1,2026-05-03 15:27:00,high
E22,ACCT-002,AI,us-east-1,2026-07-07 08:12+00:00,medium
E23,ACCT-004,Storage,us-east-1,2026/05/27 18:12,medium
E24,acct-003,Storage,us-east-1,2026-01-12 11:36:00,high
E25,ACCT-002,Compute,us-east-1,2026-06-01 15:36+00:00,high
E26,ACCT-004,Networking,ap-south-1,2026-07-27 14:53:00,medium
E27, acct-001 ,AI,ap-south-1,2026-02-18 17:30:00,medium
E28, acct-001 ,Storage,ap-south-1,2026-11-14 17:52+00:00,low
E29,ACCT-004,Compute,ap-south-1,2026-09-17 18:05:00,medium
