Ticket_ID,Severity,Issue_Type,Description,Created_TS
T-0,medium,billing,Customer reported issue 9876543210 with service,2026/12/04 16:39
T-1,high,billing,Customer reported issue 9876543210 with service,2026-05-17 17:06+00:00
T-2,medium,outage,Customer reported issue 9876543210 with service,2026/09/26 07:57
T-3,low,billing,Customer reported issue 9876543210 with service,2026/09/02 00:32
T-4,high,billing,Customer reported issue 9876543210 with service,2026-10-04 07:05:00
T-5,low,outage,Customer reported issue 9876543210 with service,2026-02-14 23:12+00:00
T-6,low,outage,Customer reported issue 9876543210 with service,2026/03/24 07:57
T-7,low,performance,Customer reported issue 9876543210 with service,2026/06/10 01:08
T-8,high,outage,Customer reported issue 9876543210 with service,2026-08-06 06:06:00
T-9,medium,billing,Customer reported issue 9876543210 with service,2026/05/17 02:51
T-10,high,performance,Customer reported issue 9876543210 with service,2026-08-03 11:34:00
T-11,medium,billing,Customer reported issue 9876543210 with service,2026/02/26 17:32
T-12,medium,billing,Customer reported issue 9876543210 with service,2026-08-14 18:00+00:00
T-13,medium,outage,Customer reported issue 9876543210 with service,2026/07/20 05:09
T-14,low,outage,Customer reported issue 9876543210 with service,2026-01-17 15:50+00:00
T-15,high,outage,Customer reported issue 9876543210 with service,2026/03/06 19:20
T-16,medium,performance,Customer reported issue 9876543210 with service,2026-02-14 00:46:00
T-17,low,performance,Customer reported issue 9876543210 with service,2026/11/10 04:49
T-18,high,billing,Customer reported issue 9876543210 with service,2026-01-20 20:38+00:00
T-19,high,billing,Customer reported issue 9876543210 with service,2026-04-11 19:10:00
T-20,medium,outage,Customer reported issue 9876543210 with service,2026/08/08 01:24
T-21,low,performance,Customer reported issue 9876543210 with service,2026-02-07 01:57+00:00
T-22,low,outage,Customer reported issue 9876543210 with service,2026-09-12 00:43:00
T-23,medium,billing,Customer reported issue 9876543210 with service,2026-06-24 06:06+00:00
T-24,low,billing,Customer reported issue 9876543210 with service,2026-05-13 03:57+00:00
T-25,high,outage,Customer reported issue 9876543210 with service,2026-04-12 09:37:00
T-26,low,performance,Customer reported issue 9876543210 with service,2026-04-26 20:37+00:00
T-27,high,outage,Customer reported issue 9876543210 with service,2026-06-29 18:00:00
T-28,high,billing,Customer reported issue 9876543210 with service,2026-11-16 14:14+00:00
T-29,high,billing,Customer reported issue 9876543210 with service,2026-09-19 11:49:00
T-30,medium,performance,Customer reported issue 9876543210 with service,2026-12-01 13:18:00
T-31,low,performance,Customer reported issue 9876543210 with service,2026-06-29 09:25+00:00
T-32,medium,performance,Customer reported issue 9876543210 with service,2026/07/16 03:45
T-33,medium,outage,Customer reported issue 9876543210 with service,2026-02-02 03:38+00:00
T-34,medium,billing,Customer reported issue 9876543210 with service,2026-09-14 19:19+00:00
T-35,medium,outage,Customer reported issue 9876543210 with service,2026-10-28 08:56:00
T-36,medium,performance,Customer reported issue 9876543210 with service,2026-01-20 01:43:00
T-37,high,performance,Customer reported issue 9876543210 with service,2026/05/13 21:38
T-38,medium,performance,Customer reported issue 9876543210 with service,2026-12-02 16:25+00:00
T-39,medium,performance,Customer reported issue 9876543210 with service,2026-03-01 07:35:00
T-40,medium,performance,Customer reported issue 9876543210 with service,2026-08-08 14:10:00
T-41,medium,outage,Customer reported issue 9876543210 with service,2026-08-04 06:01+00:00
T-42,high,outage,Customer reported issue 9876543210 with service,2026/11/30 05:21
T-43,medium,billing,Customer reported issue 9876543210 with service,2026-08-26 04:04:00
