Usage_ID,Account,TS,Service,SKU,Usage,Unit,Cost,Region,Ticket_ID
U6000, acct-001 ,2026-10-19 09:56:00,Networking,VM-STD-4,11282,seconds,₹ 194.0,AP-SOUTH-1,T-12
U6001,ACCT-004,2026/01/10 15:14,Compute,VM-std_4,1685,sec,₹ 1705.51,us-east 1,t-33
U6002, acct-001 ,2026/08/22 19:33,Database,DB-gp_2,13190,min,₹ 144.93,us-east 1,t-77
U6003,ACCT-004,2026-01-28 11:20:00,Compute,VM-STD-4,2536,min,₹ 1689.62,us-east 1,T-45
U6004,ACCT-002,2026/11/28 00:36,Networking,vm_std_4,9393,hr,₹ 1745.79,us-east 1,t-33
U6005,acct-003,2026-05-09 06:14:00,Storage,VM-STD-4,10458,min,₹ 786.69,AP-SOUTH-1,T-12
U6006, acct-001 ,2026-11-22 06:29:00,Compute,VM-STD-4,6025,seconds,₹ 1725.43,ap-south-1,t-33
U6007,ACCT-002,2026-09-20 14:11:00,AI,VM-STD-4,18436,min,₹ 179.75,ap-south 1,t-33
U6008,ACCT-002,2026-01-11 11:06+00:00,Storage,STORAGE-prem,5620,seconds,₹ 739.82,ap-south-1,T-12
U6009, acct-001 ,2026-05-04 00:32:00,Networking,vm_std_4,16707,seconds,₹ 1195.12,ap-south 1,T-45
U6010, acct-001 ,2026-12-08 20:40+00:00,Storage,VM-std_4,18460,hr,₹ 180.18,AP-SOUTH-1,t-33
U6011,ACCT-004,2026-04-28 14:16:00,Storage,vm_std_4,3281,min,₹ 266.17,ap-south-1,T-45
U6012,acct-003,2026/11/14 10:58,Networking,DB-gp_2,18773,seconds,₹ 477.8,AP-SOUTH-1,t-33
U6013,acct-003,2026/09/06 22:39,Compute,VM-STD-4,5520,min,₹ 1339.54,ap-south-1,t-33
U6014,ACCT-002,2026-12-11 23:54+00:00,Database,DB-gp_2,16423,min,₹ 556.33,AP-SOUTH-1,T-45
U6015,acct-003,2026/02/13 09:18,Storage,STORAGE-prem,732700,hr,₹ 27447.800000000003,AP-SOUTH-1,t-33
U6016,ACCT-004,2026/05/05 09:19,AI,DB-gp_2,14412,hr,₹ 1571.06,AP-SOUTH-1,t-33
U6017, acct-001 ,2026-02-15 06:29+00:00,AI,VM-STD-4,6945,min,₹ 637.62,us-east 1,T-45
U6018,ACCT-004,2026-10-17 14:57:00,AI,STORAGE-prem,18652,sec,₹ 993.11,us-east 1,t-33
U6019,ACCT-004,2026-09-30 11:46+00:00,Compute,vm_std_4,6594,min,₹ 494.75,ap-south-1,t-33
U6020, acct-001 ,2026-02-27 05:51+00:00,Compute,VM-std_4,8783,seconds,₹ 28.59,ap-south-1,t-77
U6021, acct-001 ,2026-09-10 23:04:00,Networking,vm_std_4,12466,hr,₹ 1877.03,AP-SOUTH-1,T-45
U6022,acct-003,2026/11/02 09:22,AI,VM-std_4,18281,min,₹ 898.64,ap-south 1,T-12
U6023,ACCT-004,2026/05/08 12:43,Storage,vm_std_4,306,hr,₹ 1025.46,AP-SOUTH-1,T-12
U6024, acct-001 ,2026-02-16 06:52:00,Storage,VM-STD-4,19805,hr,₹ 145.96,us-east 1,T-12
U6025, acct-001 ,2026/05/08 12:41,AI,DB-gp_2,19143,min,₹ 1952.34,ap-south 1,t-77
U6026,acct-003,2026-10-10 01:56+00:00,AI,VM-STD-4,15768,seconds,₹ 1634.88,AP-SOUTH-1,T-45
U6027,ACCT-002,2026-03-16 23:47:00,Compute,vm_std_4,4393,seconds,₹ 344.03,us-east 1,t-77
U6028,ACCT-004,2026-09-22 02:59+00:00,AI,VM-STD-4,8122,hr,₹ 774.29,ap-south-1,t-33
U6029,acct-003,2026-02-05 23:14:00,Networking,STORAGE-prem,8931,sec,₹ 1731.71,ap-south-1,T-45
U6030,acct-003,2026/10/25 06:01,Compute,vm_std_4,3219,seconds,₹ 849.03,us-east 1,t-33
U6031, acct-001 ,2026/10/10 17:00,Networking,STORAGE-prem,8079,sec,₹ 484.53,us-east 1,T-12
U6032,ACCT-004,2026-10-01 04:34:00,Storage,STORAGE-prem,8050,sec,₹ 1450.48,ap-south-1,t-33
U6033, acct-001 ,2026-05-10 04:31:00,Compute,DB-gp_2,18465,hr,₹ 148.19,ap-south 1,t-33
U6034, acct-001 ,2026-10-03 20:43:00,Compute,DB-gp_2,3994,sec,₹ 841.56,ap-south 1,t-33
U6035,ACCT-004,2026-01-16 03:15:00,Storage,vm_std_4,11252,hr,₹ 605.67,ap-south 1,T-45
U6036,ACCT-002,2026-04-06 05:53:00,AI,VM-STD-4,18127,min,₹ 1696.24,us-east 1,T-12
U6037,ACCT-004,2026/05/17 00:53,Database,VM-STD-4,2714,sec,₹ 1798.2,ap-south-1,t-77
U6038,ACCT-002,2026-02-23 14:45:00,Networking,VM-STD-4,4976,seconds,₹ 235.54,AP-SOUTH-1,t-33
U6039, acct-001 ,2026-11-09 17:13:00,Compute,VM-std_4,8701,hr,₹ 1064.95,AP-SOUTH-1,t-33
U6040,acct-003,2026-12-12 02:57+00:00,Storage,VM-STD-4,12618,hr,₹ 1370.29,AP-SOUTH-1,T-12
U6041,acct-003,2026/05/30 16:58,AI,DB-gp_2,19850,hr,₹ 1227.99,ap-south 1,t-33
U6042, acct-001 ,2026/04/09 05:27,Networking,DB-gp_2,13532,seconds,₹ 1302.61,ap-south-1,t-33
U6043,ACCT-002,2026-08-10 23:42:00,Compute,VM-std_4,17399,seconds,₹ 1784.75,us-east 1,T-45
U6044,acct-003,2026-06-19 06:36+00:00,Compute,VM-std_4,2615,sec,₹ 173.63,ap-south-1,t-33
U6045,acct-003,2026/03/22 10:31,Networking,STORAGE-prem,11532,hr,₹ 844.01,AP-SOUTH-1,T-45
U6046,ACCT-002,2026-09-06 07:36+00:00,Storage,STORAGE-prem,15590,sec,₹ 1667.01,AP-SOUTH-1,t-77
U6047,ACCT-002,2026/08/07 17:04,Storage,vm_std_4,12275,seconds,₹ 1119.11,AP-SOUTH-1,t-77
U6048,acct-003,2026-07-10 02:39:00,Networking,VM-STD-4,13282,hr,₹ 1499.75,ap-south-1,T-45
U6049, acct-001 ,2026-09-27 01:40:00,Database,VM-STD-4,15926,seconds,₹ 108.6,ap-south 1,T-12
U6050,ACCT-004,2026-11-27 01:49+00:00,Networking,STORAGE-prem,7191,min,₹ 658.27,ap-south 1,t-77
U6051,ACCT-002,2026-03-16 18:31+00:00,Database,DB-gp_2,8069,hr,₹ 229.15,ap-south-1,T-12
U6052,acct-003,2026/08/16 16:49,Networking,DB-gp_2,2560,min,₹ 329.55,ap-south-1,t-77
U6053,acct-003,2026-05-01 03:49:00,Networking,vm_std_4,12352,sec,₹ 749.52,AP-SOUTH-1,T-45
U6054, acct-001 ,2026/01/21 15:12,Storage,VM-std_4,18055,min,₹ 613.04,AP-SOUTH-1,t-33
U6055, acct-001 ,2026/09/01 22:59,Compute,VM-STD-4,14362,seconds,₹ 1453.0,ap-south-1,t-77
U6056, acct-001 ,2026-07-12 14:51:00,Storage,VM-STD-4,13228,sec,₹ 813.77,us-east 1,T-12
U6057,ACCT-004,2026-01-05 05:09:00,Storage,VM-std_4,769750,seconds,₹ 30357.600000000002,ap-south-1,T-45
U6058,ACCT-002,2026/08/11 20:49,Storage,vm_std_4,3022,min,₹ 1559.12,AP-SOUTH-1,t-33
U6059,acct-003,2026/01/19 10:29,AI,VM-STD-4,2580,min,₹ 289.83,ap-south 1,t-33
U6060,ACCT-002,2026/01/31 04:03,Networking,STORAGE-prem,19100,sec,₹ 1352.4,us-east 1,T-12
U6061,acct-003,2026-04-19 19:48+00:00,AI,STORAGE-prem,11562,seconds,₹ 1617.83,us-east 1,T-12
U6062, acct-001 ,2026/01/04 04:18,AI,DB-gp_2,11884,sec,₹ 1916.5,ap-south-1,T-12
U6063,ACCT-004,2026-08-29 03:17+00:00,Database,DB-gp_2,10616,seconds,₹ 1963.35,AP-SOUTH-1,t-77
U6064,ACCT-002,2026-11-22 10:05+00:00,AI,STORAGE-prem,722,hr,₹ 79.52,ap-south 1,t-33
U6065,ACCT-004,2026-03-17 06:12+00:00,Networking,STORAGE-prem,19877,min,₹ 1743.39,AP-SOUTH-1,t-33
U6066,acct-003,2026-01-31 06:26:00,AI,STORAGE-prem,12472,hr,₹ 1654.77,AP-SOUTH-1,T-12
U6067, acct-001 ,2026/09/16 04:05,Compute,STORAGE-prem,757550,seconds,₹ 25509.6,ap-south-1,t-33
U6068, acct-001 ,2026-02-10 16:11:00,Networking,DB-gp_2,13800,min,₹ 368.86,ap-south-1,T-45
U6069,acct-003,2026/06/08 04:18,Database,STORAGE-prem,1124,min,₹ 558.08,ap-south-1,t-33
U6070,ACCT-002,2026-02-25 22:14:00,Database,STORAGE-prem,18579,hr,₹ 775.37,AP-SOUTH-1,t-33
U6071,ACCT-004,2026-01-12 15:03+00:00,AI,vm_std_4,501,sec,₹ 1409.03,ap-south 1,T-45
U6072,ACCT-002,2026-04-26 16:56+00:00,Storage,VM-STD-4,9459,hr,₹ 1208.28,us-east 1,T-12
U6073,ACCT-002,2026-10-10 02:07+00:00,Networking,vm_std_4,13767,min,₹ 1461.12,AP-SOUTH-1,T-12
U6074,ACCT-004,2026-08-26 13:00+00:00,Storage,DB-gp_2,6728,min,₹ 1441.91,us-east 1,T-12
U6075,ACCT-002,2026/01/25 20:37,Storage,DB-gp_2,7795,min,₹ 146.02,ap-south 1,t-33
U6076,ACCT-002,2026-06-25 02:29+00:00,Database,VM-std_4,7907,min,₹ 1839.19,ap-south 1,T-12
U6077,acct-003,2026-12-02 04:51+00:00,Database,DB-gp_2,17472,min,₹ 1325.03,ap-south-1,T-12
U6078,ACCT-002,2026-06-18 21:29:00,Storage,VM-STD-4,2796,min,₹ 1249.23,us-east 1,t-33
U6079, acct-001 ,2026/03/12 17:25,AI,VM-std_4,3175,sec,₹ 1312.98,AP-SOUTH-1,T-45
U6080, acct-001 ,2026-05-26 22:02+00:00,Compute,STORAGE-prem,18679,seconds,₹ 1309.34,ap-south 1,t-77
U6081,ACCT-004,2026-10-01 08:28+00:00,Storage,DB-gp_2,5663,seconds,₹ 160.36,AP-SOUTH-1,T-12
U6082,ACCT-002,2026-05-04 23:04:00,Database,VM-STD-4,15114,seconds,₹ 699.52,AP-SOUTH-1,t-77
U6083,acct-003,2026/11/21 17:36,Compute,STORAGE-prem,2149,hr,₹ 221.01,ap-south 1,t-77
U6084,acct-003,2026/04/06 23:10,AI,VM-std_4,14074,hr,₹ 787.44,us-east 1,T-45
U6085,acct-003,2026/08/25 21:57,Networking,vm_std_4,16850,hr,₹ 638.43,ap-south 1,t-77
U6086,ACCT-004,2026/09/23 13:53,Networking,VM-std_4,17742,min,₹ 1085.54,ap-south 1,t-33
U6087,acct-003,2026-09-10 12:45:00,AI,VM-STD-4,6617,seconds,₹ 791.54,ap-south 1,T-12
U6088,ACCT-004,2026/08/25 14:15,Storage,STORAGE-prem,5137,sec,₹ 569.54,ap-south 1,t-77
U6089,acct-003,2026/05/13 19:53,Compute,DB-gp_2,5305,hr,₹ 419.93,AP-SOUTH-1,t-33
U6090,acct-003,2026-07-18 18:55:00,Compute,STORAGE-prem,18331,min,₹ 944.29,us-east 1,t-33
U6091,ACCT-004,2026-11-26 12:46:00,Storage,VM-std_4,1971,hr,₹ 1123.84,ap-south 1,t-33
U6092, acct-001 ,2026/06/07 11:48,Storage,VM-STD-4,18086,hr,₹ 1518.17,ap-south-1,T-12
U6093, acct-001 ,2026/02/02 15:41,AI,VM-STD-4,1456,seconds,₹ 1339.06,AP-SOUTH-1,T-45
U6094, acct-001 ,2026/02/11 21:06,AI,vm_std_4,18525,seconds,₹ 583.67,ap-south 1,t-77
U6095,acct-003,2026/06/18 17:22,Storage,STORAGE-prem,4295,sec,₹ 1795.39,ap-south-1,T-45
U6096, acct-001 ,2026/02/23 03:05,AI,vm_std_4,16937,hr,₹ 1487.32,AP-SOUTH-1,t-77
U6097, acct-001 ,2026-10-05 23:43:00,Database,VM-std_4,217,min,₹ 1384.01,ap-south 1,t-33
U6098,ACCT-004,2026/08/13 02:48,AI,vm_std_4,14396,hr,₹ 799.91,ap-south-1,T-12
U6099,acct-003,2026-04-20 01:59:00,Storage,STORAGE-prem,5059,seconds,₹ 166.21,AP-SOUTH-1,t-77
U6100, acct-001 ,2026-09-28 18:49+00:00,Compute,vm_std_4,13900,sec,₹ 1396.38,AP-SOUTH-1,T-12
U6101, acct-001 ,2026-04-22 08:06+00:00,Networking,DB-gp_2,14136,hr,₹ 403.23,ap-south-1,T-12
U6102,ACCT-002,2026-11-01 16:46:00,Compute,VM-STD-4,12115,min,₹ 1516.32,us-east 1,T-45
U6103,ACCT-002,2026/02/20 06:07,Networking,vm_std_4,10525,min,₹ 1536.63,ap-south 1,T-12
U6104,ACCT-004,2026-04-01 05:53+00:00,Networking,DB-gp_2,16235,sec,₹ 1353.83,us-east 1,T-12
U6105,ACCT-004,2026/10/22 18:28,Compute,DB-gp_2,2143,sec,₹ 1081.36,AP-SOUTH-1,T-12
U6106,ACCT-002,2026/07/16 18:47,Networking,STORAGE-prem,14392,hr,₹ 793.69,ap-south-1,t-77
U6107,acct-003,2026-12-12 04:15:00,Compute,vm_std_4,7419,sec,₹ 1850.05,us-east 1,t-77
U6108,acct-003,2026/01/24 08:27,Storage,DB-gp_2,16480,hr,₹ 241.07,ap-south-1,T-45
U6109,ACCT-004,2026/05/12 21:56,AI,DB-gp_2,17896,min,₹ 1717.56,us-east 1,t-33
U6110,acct-003,2026/02/03 03:37,Storage,DB-gp_2,13344,min,₹ 1684.6,ap-south 1,t-77
U6111,ACCT-004,2026-06-20 09:45:00,AI,VM-std_4,489,sec,₹ 1224.87,ap-south 1,T-45
U6112,acct-003,2026-08-27 16:21:00,Networking,DB-gp_2,16946,hr,₹ 845.79,ap-south 1,T-12
U6113,ACCT-002,2026-10-21 08:56+00:00,Compute,DB-gp_2,14213,sec,₹ 560.01,ap-south 1,T-12
U6114, acct-001 ,2026-03-19 12:20+00:00,Database,STORAGE-prem,7438,sec,₹ 1149.81,AP-SOUTH-1,T-12
U6115,ACCT-002,2026-11-22 21:09+00:00,Networking,DB-gp_2,19146,sec,₹ 521.24,us-east 1,t-77
U6116,ACCT-002,2026/05/09 12:29,Database,DB-gp_2,10502,min,₹ 1416.38,ap-south-1,T-45
